system,source,source_detail,model_key,model_label,batch_size,output_len_bucket,output_label,num_requests,num_completed,num_failed,status,median_ttft_s,p99_ttft_s,median_e2e_s,p99_e2e_s,median_tpot_ms,p99_tpot_ms,gpu_peak_memory_gb,decode_throughput_tok_s,notes,throughput_vs_vllm_x,ttft_vs_vllm_x,p99_e2e_vs_vllm_x
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,1,1024,1k,32,32,0,ok,1.7608698606491089,1.7727470684051514,29.917124032974243,30.14071520090103,27.547314442300518,27.75974212560635,43.2744140625,34.26448220967471,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,1,1024,1k,32,32,0,ok,2.345771409571171,4.502721731206406,84.26964965322986,152.94917427070905,80.09402501899368,147.21849427197515,15.894371509552002,11.504788235635568,measured raw requests,0.3357642518930914,0.7506570561242422,0.19706360197508574
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,1,1024,1k,32,32,0,predicted,1.6904350662231444,1.7018371856689454,24.53204170703888,25.318200768756864,20.385012687302382,20.5422091729487,33.75404296875,43.85853722838363,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.28,1.0416666666666667,1.1904761904761907
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,1,2048,2k,32,32,0,ok,1.7641080617904663,1.7768264770507813,58.15020430088043,58.49407480716705,27.55938323245603,27.72216670440905,43.1572265625,35.228229937670015,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,1,2048,2k,32,32,0,ok,2.3010642279405147,19.52987731309145,167.07696180557832,189.81442083748524,80.49799319930851,86.0682780952268,15.90619707107544,12.243145485804153,measured raw requests,0.3475379122784819,0.766648770760027,0.30816454592377013
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,1,2048,2k,32,32,0,predicted,1.6494410377740858,1.6613327560424804,43.612653225660324,44.16302647941112,18.46478676574554,18.57385169195406,31.2889892578125,54.25147410401183,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.54,1.0695187165775402,1.3245033112582782
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,1,6144,6k,32,32,0,ok,1.7583857774734497,1.7873123836517335,173.39055156707764,174.20689815998077,27.944016402259166,28.078220257422156,42.7509765625,35.436005701513686,measured raw requests,1.0,1.0,1.0
InfiniGen,measured,raw_infinigen,llama31_8b_instruct,Llama-3.1-8B,1,6144,6k,32,32,0,ok,2.3248762409202754,4.181718314583416,468.732428266434,577.303911972763,75.92027192928828,93.59868471731828,15.95349931716919,12.653993042764192,measured raw requests,0.3570942264021496,0.756335217558683,0.30175942782837023
KVCore (pred.),predicted,mechanism_based_from_vllm_and_blockwisepress_prior,llama31_8b_instruct,Llama-3.1-8B,1,6144,6k,32,32,0,predicted,1.6001310575008392,1.6264542691230774,117.90557506561278,116.7186217671871,16.7664098413555,16.84693215445329,28.643154296875,63.78481026272463,KVCore prediction assumes sparse block lifecycle reduces most but not all preemptions; gains grow with batch size and output length,1.8,1.098901098901099,1.492537313432836
vLLM,measured,raw_vllm,llama31_8b_instruct,Llama-3.1-8B,8,1024,1k,32,32,0,ok,18.259483814239502,18.615207784175873,75.62913703918457,75.7802460193634,56.11774657803739,71.77515380303221,45.7109375,108.20054903534495,measured raw requests,1.0,1.0,1.0
