model,model_label,method,method_label,compression_ratio,dataset_key,needle_depth,rouge_l_f,predicted_answer
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.3,needle_in_haystack:16384,0,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.4,needle_in_haystack:16384,0,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.5,needle_in_haystack:16384,0,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.6,needle_in_haystack:16384,0,82.60869516068054," to eat a sandwich and sit in Dolores Park on a sunny day. This is mentioned in the first line of the book: ""Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny"
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.7,needle_in_haystack:16384,0,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.8,needle_in_haystack:16384,0,62.068965089179564, to eat a sandwich and sit in Dolores Park.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.3,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.4,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.5,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.6,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.7,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.8,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.3,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.4,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.5,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.6,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.7,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.8,needle_in_haystack:16384,0,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.3,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.4,needle_in_haystack:16384,25,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.5,needle_in_haystack:16384,25,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.6,needle_in_haystack:16384,25,74.99999953125, to eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.7,needle_in_haystack:16384,25,62.068965089179564, to eat a sandwich and sit in Dolores Park.
llama31_8b_instruct,Llama-3.1-8B-Instruct,blockwise,BlockWise,0.8,needle_in_haystack:16384,25,62.068965089179564, to eat a sandwich and sit in Dolores Park.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.3,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.4,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.5,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.6,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.7,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,chunkkv,ChunkKV,0.8,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.3,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.4,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.5,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.6,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.7,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
llama31_8b_instruct,Llama-3.1-8B-Instruct,snapkv,SnapKV,0.8,needle_in_haystack:16384,25,70.96774147762747, eat a sandwich and sit in Dolores Park on a sunny day.
