method,context_length,needle_depth,compression_ratio,correct,rouge_l_f1,predicted_answer,needle,result_dir
block_wise,16384,0,0.5,0,0.7499999953125,to eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,10,0.5,0,0.6206896508917956,to eat a sandwich and sit in Dolores Park.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,20,0.5,0,0.7499999953125,to eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,30,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,40,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,50,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,60,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,70,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,80,0.5,1,0.7096774147762748,eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
block_wise,16384,90,0.5,0,0.7499999953125,to eat a sandwich and sit in Dolores Park on a sunny day.,"Remember, the best thing to do in San Francisco is eat a sandwich and sit in Dolores Park on a sunny day.",/home10T/bzx/workspace/kvpress-study/evaluation/results/experiments/ATC26_needle_heatmap_llama31_8b_ratio50/artifacts/raw/needle_in_haystack__--Tan--mo-4a9a52dc19__block_wise__0.50__max_context16384__query_aware__qwindow64__topk4__b40edf655af0
