model,dataset,data_dir,dataset_key,method,compression_ratio,fraction,score_name,score,lower_is_better,metrics_path,config_path,predictions_path,status
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.3,1.0,score,50.04,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p3/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__cc936a8601e8/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p3/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__cc936a8601e8/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p3/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.30__query_aware__qwindow64__topk4__cc936a8601e8/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.4,1.0,score,49.05,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p4/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__12b294ec222c/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p4/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__12b294ec222c/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p4/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.40__query_aware__qwindow64__topk4__12b294ec222c/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.5,0.01,score,0.0,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__f550ea59f7aa/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__f550ea59f7aa/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__fraction0.010__query_aware__qwindow64__f550ea59f7aa/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.5,1.0,score,49.52,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__4d7ac78c6a62/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__4d7ac78c6a62/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p5/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.50__query_aware__qwindow64__topk4__4d7ac78c6a62/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.6,1.0,score,49.62,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p6/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__23c1177d70ef/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p6/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__23c1177d70ef/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p6/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.60__query_aware__qwindow64__topk4__23c1177d70ef/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,blockwise,0.7,1.0,score,49.02,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p7/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__dc9917992cc2/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p7/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__dc9917992cc2/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__blockwise__r0p7/longbench__2wikimqa__--Tan--mo-4a9a52dc19__block_wise__0.70__query_aware__qwindow64__topk4__dc9917992cc2/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.3,1.0,score,50.1,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p3/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.30__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.4,1.0,score,51.54,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p4/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.40__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.5,0.01,score,0.0,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__fraction0.010__query_aware/ATC26_predictions.csv,success
llama31_8b_instruct,longbench,2wikimqa,longbench:2wikimqa,chunkkv,0.5,1.0,score,49.77,False,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__query_aware/ATC26_metrics.json,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__query_aware/ATC26_config.yaml,evaluation/results/experiments/ATC26_longbench16_prefill_sweep_blockwise_snapkv_chunkkv/artifacts/raw/llama31_8b_instruct__longbench_2wikimqa__chunkkv__r0p5/longbench__2wikimqa__--Tan--model--Llama-3.1-8B-Instruct__chunkkv__0.50__query_aware/ATC26_predictions.csv,success
